OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Total Sales,Total Revenue,Total Cost,Total Profit,Profit Margin,Discount Amount,Order Year,Order Month,Order Day,Order Quarter,Order DayOfWeek,Order WeekOfYear,Ship Year,Ship Month,Ship Day,Ship Quarter,Ship DayOfWeek,Ship WeekOfYear,Delivery Year,Delivery Month,Delivery Day,Delivery Quarter,Delivery DayOfWeek,Delivery WeekOfYear,Processing_Days,Shipping_Days,Total_Lead_Time,Delivery_Category,Order_Value_Category,High_Margin_Product,Discounted_Order,Large_Order,Is_Holiday_Season,Is_Summer
SO - 0004642,Online,WARE-NMK1003,23/8/19,2019-11-23,2019-11-30,2019-12-03,USD,19,33,122,1,2,0.15,405.22,964.8,1640.1599999999999,1929.6,1640.1599999999999,810.44,829.7199999999998,50.58774753682567,289.44,2019,11,23,4,5,47,2019,11,30,4,5,48,2019,12,3,4,1,49,7,3,10,Slow,Low,True,True,False,True,False
SO - 0004643,Wholesale,WARE-XYS1001,23/8/19,2019-11-23,2019-11-28,2019-12-04,USD,26,8,38,41,3,0.1,516.44,1098.8,2966.7599999999998,3296.3999999999996,2966.7599999999998,1549.3200000000002,1417.4399999999996,47.77737329612101,329.64,2019,11,23,4,5,47,2019,11,28,4,3,48,2019,12,4,4,2,49,5,6,11,Slow,Low,True,True,False,True,False
SO - 0004644,Wholesale,WARE-UHY1004,23/8/19,2019-11-23,2019-11-30,2019-12-09,USD,26,8,261,4,7,0.4,1370.69,2586.2,10862.039999999999,18103.399999999998,10862.039999999999,9594.83,1267.2099999999991,11.666408888201472,7241.360000000001,2019,11,23,4,5,47,2019,11,30,4,5,48,2019,12,9,4,0,50,7,9,16,Very Slow,Below Avg,False,True,False,True,False
SO - 0004645,In-Store,WARE-PUJ1005,23/8/19,2019-11-23,2019-12-16,2019-12-24,USD,4,46,302,1,7,0.1,3268.13,5634.7,35498.61,39442.9,35498.61,22876.91,12621.7,35.55547667922772,3944.29,2019,11,23,4,5,47,2019,12,16,4,0,51,2019,12,24,4,1,52,23,8,31,Very Slow,Above Avg,True,True,False,True,False
SO - 0004646,Online,WARE-UHY1004,23/8/19,2019-11-24,2019-12-19,2019-12-23,USD,14,42,233,26,5,0.08,2855.81,3859.2,17752.32,19296.0,17752.32,14279.05,3473.2700000000004,19.56516106063884,1543.6799999999998,2019,11,24,4,6,47,2019,12,19,4,3,51,2019,12,23,4,0,52,25,4,29,Very Slow,Below Avg,False,True,False,True,False
SO - 0004647,In-Store,WARE-MKL1006,23/8/19,2019-11-24,2019-12-14,2019-12-19,USD,9,5,343,17,4,0.3,95.54,207.7,581.56,830.8,581.56,382.16,199.39999999999992,34.2870898961414,249.23999999999998,2019,11,24,4,6,47,2019,12,14,4,5,50,2019,12,19,4,3,51,20,5,25,Very Slow,Low,True,True,False,True,False
SO - 0004648,Online,WARE-NMK1003,23/8/19,2019-11-24,2019-12-01,2019-12-11,USD,16,12,99,25,8,0.05,615.06,1139.0,8656.4,9112.0,8656.4,4920.48,3735.92,43.15789473684211,455.6,2019,11,24,4,6,47,2019,12,1,4,6,48,2019,12,11,4,2,50,7,10,17,Very Slow,Low,True,True,True,True,False
SO - 0004649,In-Store,WARE-NMK1003,23/8/19,2019-11-24,2019-12-09,2019-12-15,USD,7,13,89,14,3,0.15,2910.15,3986.5,10165.574999999999,11959.5,10165.574999999999,8730.45,1435.1249999999982,14.11749950199569,1793.9250000000002,2019,11,24,4,6,47,2019,12,9,4,0,50,2019,12,15,4,6,50,15,6,21,Very Slow,Below Avg,False,True,False,True,False
SO - 0004650,Online,WARE-NMK1003,23/8/19,2019-11-24,2019-12-22,2019-12-31,USD,15,18,128,15,3,0.05,377.88,944.7,2692.3950000000004,2834.1000000000004,2692.3950000000004,1133.6399999999999,1558.7550000000006,57.894736842105274,141.705,2019,11,24,4,6,47,2019,12,22,4,6,51,2019,12,31,4,1,1,28,9,37,Very Slow,Low,True,True,False,True,False
SO - 0004651,Online,WARE-XYS1001,23/8/19,2019-11-24,2019-12-09,2019-12-13,USD,14,13,50,32,4,0.1,389.14,884.4,3183.84,3537.6,3183.84,1556.56,1627.2800000000002,51.110608573295146,353.76,2019,11,24,4,6,47,2019,12,9,4,0,50,2019,12,13,4,4,50,15,4,19,Very Slow,Low,True,True,False,True,False
SO - 0004652,In-Store,WARE-PUJ1005,23/8/19,2019-11-24,2019-12-06,2019-12-12,USD,5,42,323,47,1,0.08,760.85,1118.9,1029.3880000000001,1118.9,1029.3880000000001,760.85,268.5380000000001,26.087150811938752,89.51200000000001,2019,11,24,4,6,47,2019,12,6,4,4,49,2019,12,12,4,3,50,12,6,18,Very Slow,Low,False,True,False,True,False
SO - 0004653,Distributor,WARE-XYS1001,23/8/19,2019-11-24,2019-12-01,2019-12-04,USD,25,21,9,31,4,0.05,788.99,1232.8,4684.639999999999,4931.2,4684.639999999999,3155.96,1528.6799999999994,32.63174971822807,246.56,2019,11,24,4,6,47,2019,12,1,4,6,48,2019,12,4,4,2,49,7,3,10,Slow,Low,True,True,False,True,False
SO - 0004654,In-Store,WARE-NMK1003,23/8/19,2019-11-24,2019-12-13,2019-12-14,USD,8,3,151,47,6,0.08,128.24,194.3,1072.5360000000003,1165.8000000000002,1072.5360000000003,769.44,303.09600000000023,28.259750721654115,93.26400000000001,2019,11,24,4,6,47,2019,12,13,4,4,50,2019,12,14,4,5,50,19,1,20,Very Slow,Low,False,True,False,True,False
SO - 0004655,In-Store,WARE-MKL1006,23/8/19,2019-11-24,2019-12-07,2019-12-10,USD,12,34,355,24,5,0.05,625.31,1025.1,4869.224999999999,5125.5,4869.224999999999,3126.5499999999997,1742.6749999999997,35.78957636995621,256.275,2019,11,24,4,6,47,2019,12,7,4,5,49,2019,12,10,4,1,50,13,3,16,Very Slow,Low,True,True,False,True,False
SO - 0004656,In-Store,WARE-UHY1004,23/8/19,2019-11-24,2019-12-01,2019-12-02,USD,8,7,209,8,7,0.08,2430.09,3919.5,25241.58,27436.5,25241.58,17010.63,8230.95,32.608695652173914,2194.92,2019,11,24,4,6,47,2019,12,1,4,6,48,2019,12,2,4,0,49,7,1,8,Slow,Average,True,True,False,True,False
SO - 0004657,Online,WARE-UHY1004,23/8/19,2019-11-24,2019-12-12,2019-12-14,USD,14,2,238,25,6,0.08,962.39,1782.2,9837.744,10693.2,9837.744,5774.34,4063.4040000000005,41.30422584690149,855.4559999999999,2019,11,24,4,6,47,2019,12,12,4,3,50,2019,12,14,4,5,50,18,2,20,Very Slow,Low,True,True,False,True,False
SO - 0004658,In-Store,WARE-UHY1004,23/8/19,2019-11-24,2019-12-03,2019-12-12,USD,5,48,257,22,8,0.08,1116.22,2278.0,16766.08,18224.0,16766.08,8929.76,7836.3200000000015,46.73913043478261,1457.92,2019,11,24,4,6,47,2019,12,3,4,1,49,2019,12,12,4,3,50,9,9,18,Very Slow,Below Avg,True,True,True,True,False
SO - 0004659,In-Store,WARE-PUJ1005,23/8/19,2019-11-25,2019-12-21,2019-12-26,USD,1,47,317,3,5,0.05,2076.73,2532.6,12029.849999999999,12663.0,12029.849999999999,10383.65,1646.199999999999,13.684293652871807,633.15,2019,11,25,4,0,48,2019,12,21,4,5,51,2019,12,26,4,3,52,26,5,31,Very Slow,Below Avg,False,True,False,True,False
SO - 0004660,Distributor,WARE-PUJ1005,23/8/19,2019-11-25,2019-12-02,2019-12-10,USD,23,39,311,38,8,0.1,2319.94,3999.9,28799.280000000002,31999.2,28799.280000000002,18559.52,10239.760000000002,35.55561111250004,3199.92,2019,11,25,4,0,48,2019,12,2,4,0,49,2019,12,10,4,1,50,7,8,15,Very Slow,Average,True,True,True,True,False
SO - 0004661,Distributor,WARE-XYS1001,23/8/19,2019-11-25,2019-12-16,2019-12-21,USD,24,8,56,43,2,0.08,749.93,1829.1,3365.544,3658.2,3365.544,1499.86,1865.684,55.43484203445268,292.656,2019,11,25,4,0,48,2019,12,16,4,0,51,2019,12,21,4,5,51,21,5,26,Very Slow,Low,True,True,False,True,False
SO - 0004662,In-Store,WARE-NMK1003,23/8/19,2019-11-25,2019-11-28,2019-12-08,USD,8,37,155,36,6,0.05,2498.83,5949.6,33912.72,35697.600000000006,33912.72,14992.98,18919.74,55.78950906916344,1784.88,2019,11,25,4,0,48,2019,11,28,4,3,48,2019,12,8,4,6,49,3,10,13,Slow,Above Avg,True,True,False,True,False
SO - 0004663,Online,WARE-NMK1003,23/8/19,2019-11-25,2019-11-28,2019-12-06,USD,12,25,96,2,3,0.05,777.67,1065.3,3036.1049999999996,3195.8999999999996,3036.1049999999996,2333.0099999999998,703.0949999999998,23.15779592603022,159.79500000000002,2019,11,25,4,0,48,2019,11,28,4,3,48,2019,12,6,4,4,49,3,8,11,Slow,Low,False,True,False,True,False
SO - 0004664,Online,WARE-NBV1002,23/8/19,2019-11-25,2019-12-02,2019-12-08,USD,19,31,82,23,7,0.4,519.59,1105.5,4643.099999999999,7738.5,4643.099999999999,3637.13,1005.9699999999993,21.665912859942697,3095.4000000000005,2019,11,25,4,0,48,2019,12,2,4,0,49,2019,12,8,4,6,49,7,6,13,Slow,Low,False,True,False,True,False
SO - 0004665,In-Store,WARE-UHY1004,23/8/19,2019-11-25,2019-11-27,2019-11-30,USD,7,16,211,14,8,0.05,1688.4,2680.0,20368.0,21440.0,20368.0,13507.2,6860.799999999999,33.68421052631578,1072.0,2019,11,25,4,0,48,2019,11,27,4,2,48,2019,11,30,4,5,48,2,3,5,Standard,Average,True,True,True,True,False
SO - 0004666,In-Store,WARE-PUJ1005,23/8/19,2019-11-26,2019-11-28,2019-12-03,USD,8,27,278,23,1,0.2,536.27,777.2,621.7600000000001,777.2,621.7600000000001,536.27,85.49000000000012,13.74967833247557,155.44000000000003,2019,11,26,4,1,48,2019,11,28,4,3,48,2019,12,3,4,1,49,2,5,7,Standard,Low,False,True,False,True,False
SO - 0004667,Wholesale,WARE-UHY1004,23/8/19,2019-11-26,2019-12-10,2019-12-14,USD,25,26,248,22,3,0.08,1855.63,3865.9,10669.884000000002,11597.7,10669.884000000002,5566.89,5102.9940000000015,47.826143189560455,927.816,2019,11,26,4,1,48,2019,12,10,4,1,50,2019,12,14,4,5,50,14,4,18,Very Slow,Below Avg,True,True,False,True,False
SO - 0004668,In-Store,WARE-MKL1006,23/8/19,2019-11-26,2019-12-13,2019-12-15,USD,3,26,353,30,2,0.1,1161.91,2003.3,3605.94,4006.6,3605.94,2323.82,1282.12,35.55577741171511,400.66,2019,11,26,4,1,48,2019,12,13,4,4,50,2019,12,15,4,6,50,17,2,19,Very Slow,Low,True,True,False,True,False
SO - 0004669,Distributor,WARE-UHY1004,23/8/19,2019-11-26,2019-12-24,2019-12-29,USD,21,46,248,38,5,0.1,2857.01,6210.9,27949.05,31054.5,27949.05,14285.050000000001,13663.999999999998,48.88896044767174,3105.4500000000003,2019,11,26,4,1,48,2019,12,24,4,1,52,2019,12,29,4,6,52,28,5,33,Very Slow,Average,True,True,False,True,False
SO - 0004670,Online,WARE-PUJ1005,23/8/19,2019-11-26,2019-12-10,2019-12-18,USD,19,49,278,16,7,0.05,2037.81,2579.5,17153.675,18056.5,17153.675,14264.67,2889.004999999999,16.841901225247646,902.8249999999999,2019,11,26,4,1,48,2019,12,10,4,1,50,2019,12,18,4,2,51,14,8,22,Very Slow,Below Avg,False,True,False,True,False
SO - 0004671,In-Store,WARE-XYS1001,23/8/19,2019-11-26,2019-12-09,2019-12-16,USD,8,37,9,3,3,0.05,118.59,201.0,572.85,603.0,572.85,355.77,217.08000000000004,37.89473684210527,30.150000000000002,2019,11,26,4,1,48,2019,12,9,4,0,50,2019,12,16,4,0,51,13,7,20,Very Slow,Low,True,True,False,True,False
SO - 0004672,Online,WARE-XYS1001,23/8/19,2019-11-26,2019-12-05,2019-12-10,USD,17,29,41,30,8,0.15,929.83,1721.9,11708.92,13775.2,11708.92,7438.64,4270.28,36.47031493937955,2066.28,2019,11,26,4,1,48,2019,12,5,4,3,49,2019,12,10,4,1,50,9,5,14,Slow,Below Avg,True,True,True,True,False
SO - 0004673,Online,WARE-PUJ1005,23/8/19,2019-11-26,2019-12-21,2019-12-25,USD,18,40,320,28,4,0.08,3924.53,5232.7,19256.336,20930.8,19256.336,15698.12,3558.2159999999985,18.478157007646722,1674.464,2019,11,26,4,1,48,2019,12,21,4,5,51,2019,12,25,4,2,52,25,4,29,Very Slow,Below Avg,False,True,False,True,False
SO - 0004674,In-Store,WARE-NMK1003,23/8/19,2019-11-26,2019-12-05,2019-12-07,USD,6,19,174,44,7,0.2,2869.21,5413.6,30316.160000000003,37895.200000000004,30316.160000000003,20084.47,10231.690000000002,33.74995382000887,7579.04,2019,11,26,4,1,48,2019,12,5,4,3,49,2019,12,7,4,5,49,9,2,11,Slow,Above Avg,True,True,False,True,False
SO - 0004675,Online,WARE-NBV1002,23/8/19,2019-11-27,2019-12-13,2019-12-20,USD,18,36,81,36,3,0.2,607.02,1011.7,2428.0800000000004,3035.1000000000004,2428.0800000000004,1821.06,607.0200000000004,25.000000000000018,607.0200000000001,2019,11,27,4,2,48,2019,12,13,4,4,50,2019,12,20,4,4,51,16,7,23,Very Slow,Low,False,True,False,True,False
SO - 0004676,In-Store,WARE-PUJ1005,23/8/19,2019-11-27,2019-12-15,2019-12-20,USD,1,23,281,16,3,0.05,2524.16,4006.6,11418.81,12019.8,11418.81,7572.48,3846.33,33.684157981435895,600.99,2019,11,27,4,2,48,2019,12,15,4,6,50,2019,12,20,4,4,51,18,5,23,Very Slow,Below Avg,True,True,False,True,False
SO - 0004677,In-Store,WARE-NMK1003,23/8/19,2019-11-27,2019-12-14,2019-12-18,USD,4,2,166,20,3,0.08,1373.37,1855.9,5122.284000000001,5567.700000000001,5122.284000000001,4120.11,1002.1740000000009,19.564983120810968,445.41600000000005,2019,11,27,4,2,48,2019,12,14,4,5,50,2019,12,18,4,2,51,17,4,21,Very Slow,Low,False,True,False,True,False
SO - 0004678,Online,WARE-NMK1003,23/8/19,2019-11-27,2019-12-01,2019-12-06,USD,16,16,128,44,4,0.08,2921.2,3651.5,13437.52,14606.0,13437.52,11684.8,1752.7200000000012,13.043478260869573,1168.48,2019,11,27,4,2,48,2019,12,1,4,6,48,2019,12,6,4,4,49,4,5,9,Slow,Below Avg,False,True,False,True,False
SO - 0004679,In-Store,WARE-MKL1006,23/8/19,2019-11-27,2019-12-09,2019-12-16,USD,4,12,359,20,8,0.2,99.43,187.6,1200.64,1500.8,1200.64,795.44,405.20000000000005,33.748667377398725,300.16,2019,11,27,4,2,48,2019,12,9,4,0,50,2019,12,16,4,0,51,12,7,19,Very Slow,Low,True,True,True,True,False
SO - 0004680,Distributor,WARE-UHY1004,23/8/19,2019-11-27,2019-12-23,2019-12-25,USD,25,3,211,33,5,0.4,607.82,1125.6,3376.7999999999997,5628.0,3376.7999999999997,3039.1000000000004,337.69999999999936,10.00059227671166,2251.2,2019,11,27,4,2,48,2019,12,23,4,0,52,2019,12,25,4,2,52,26,2,28,Very Slow,Low,False,True,False,True,False
SO - 0004681,Online,WARE-XYS1001,23/8/19,2019-11-27,2019-12-08,2019-12-09,USD,17,1,10,33,1,0.08,3027.06,5045.1,4641.492,5045.1,4641.492,3027.06,1614.4320000000002,34.78260869565218,403.60800000000006,2019,11,27,4,2,48,2019,12,8,4,6,49,2019,12,9,4,0,50,11,1,12,Slow,Low,True,True,False,True,False
SO - 0004682,In-Store,WARE-PUJ1005,23/8/19,2019-11-27,2019-12-14,2019-12-24,USD,11,20,320,16,4,0.15,150.08,214.4,728.96,857.6,728.96,600.32,128.64,17.64705882352941,128.64,2019,11,27,4,2,48,2019,12,14,4,5,50,2019,12,24,4,1,52,17,10,27,Very Slow,Low,False,True,False,True,False
SO - 0004683,In-Store,WARE-MKL1006,23/8/19,2019-11-27,2019-12-23,2019-12-29,USD,8,5,335,39,7,0.08,1331.96,1876.0,12081.44,13132.0,12081.44,9323.720000000001,2757.7199999999993,22.82608695652173,1050.5600000000002,2019,11,27,4,2,48,2019,12,23,4,0,52,2019,12,29,4,6,52,26,6,32,Very Slow,Below Avg,False,True,False,True,False
SO - 0004684,Wholesale,WARE-NMK1003,23/8/19,2019-11-27,2019-12-14,2019-12-23,USD,25,17,188,38,3,0.08,551.54,1125.6,3106.656,3376.7999999999997,3106.656,1654.62,1452.036,46.73951670220327,270.14399999999995,2019,11,27,4,2,48,2019,12,14,4,5,50,2019,12,23,4,0,52,17,9,26,Very Slow,Low,True,True,False,True,False
SO - 0004685,Online,WARE-NBV1002,23/8/19,2019-11-27,2019-12-08,2019-12-12,USD,17,41,85,21,1,0.08,2989.88,3986.5,3667.5800000000004,3986.5,3667.5800000000004,2989.88,677.7000000000003,18.478124539887343,318.92,2019,11,27,4,2,48,2019,12,8,4,6,49,2019,12,12,4,3,50,11,4,15,Very Slow,Low,False,True,False,True,False
SO - 0004686,Online,WARE-NMK1003,23/8/19,2019-11-27,2019-12-20,2019-12-28,USD,12,13,165,3,6,0.08,4901.32,6204.2,34247.184,37225.2,34247.184,29407.92,4839.264000000003,14.13039974323145,2978.016,2019,11,27,4,2,48,2019,12,20,4,4,51,2019,12,28,4,5,52,23,8,31,Very Slow,Above Avg,False,True,False,True,False
SO - 0004687,In-Store,WARE-PUJ1005,23/8/19,2019-11-28,2019-12-14,2019-12-20,USD,3,49,314,4,8,0.08,767.02,1065.3,7840.608,8522.4,7840.608,6136.16,1704.4480000000003,21.738722303168327,681.792,2019,11,28,4,3,48,2019,12,14,4,5,50,2019,12,20,4,4,51,16,6,22,Very Slow,Low,False,True,True,True,False
SO - 0004688,Distributor,WARE-MKL1006,23/8/19,2019-11-28,2019-12-19,2019-12-27,USD,24,29,330,4,5,0.2,633.49,1038.5,4154.0,5192.5,4154.0,3167.45,986.5500000000002,23.749398170438134,1038.5,2019,11,28,4,3,48,2019,12,19,4,3,51,2019,12,27,4,4,52,21,8,29,Very Slow,Low,False,True,False,True,False
SO - 0004689,Online,WARE-UHY1004,23/8/19,2019-11-28,2019-12-21,2019-12-24,USD,17,36,248,37,3,0.1,3138.82,6539.2,17655.84,19617.6,17655.84,9416.460000000001,8239.38,46.66659870048663,1961.7600000000002,2019,11,28,4,3,48,2019,12,21,4,5,51,2019,12,24,4,1,52,23,3,26,Very Slow,Below Avg,True,True,False,True,False
SO - 0004690,Wholesale,WARE-UHY1004,23/8/19,2019-11-28,2019-12-17,2019-12-26,USD,28,41,206,36,4,0.1,526.08,1011.7,3642.1200000000003,4046.8,3642.1200000000003,2104.32,1537.8000000000002,42.22266152680307,404.68000000000006,2019,11,28,4,3,48,2019,12,17,4,1,51,2019,12,26,4,3,52,19,9,28,Very Slow,Low,True,True,False,True,False
SO - 0004691,Wholesale,WARE-NMK1003,23/8/19,2019-11-28,2019-12-26,2019-12-30,USD,28,33,161,46,7,0.05,2561.81,3242.8,21564.620000000003,22699.600000000002,21564.620000000003,17932.67,3631.9500000000044,16.842170184311172,1134.98,2019,11,28,4,3,48,2019,12,26,4,3,52,2019,12,30,4,0,1,28,4,32,Very Slow,Average,False,True,False,True,False
SO - 0004692,Distributor,WARE-UHY1004,23/8/19,2019-11-28,2019-12-06,2019-12-16,USD,21,35,241,31,2,0.05,843.73,1721.9,3271.61,3443.8,3271.61,1687.46,1584.15,48.42111376355984,172.19000000000003,2019,11,28,4,3,48,2019,12,6,4,4,49,2019,12,16,4,0,51,8,10,18,Very Slow,Low,True,True,False,True,False
SO - 0004693,Online,WARE-XYS1001,23/8/19,2019-11-28,2019-12-09,2019-12-10,USD,17,6,56,28,2,0.08,2910.15,3986.5,7335.160000000001,7973.0,7335.160000000001,5820.3,1514.8600000000006,20.652037583365605,637.84,2019,11,28,4,3,48,2019,12,9,4,0,50,2019,12,10,4,1,50,11,1,12,Slow,Low,False,True,False,True,False
SO - 0004694,Online,WARE-XYS1001,23/8/19,2019-11-29,2019-12-09,2019-12-14,USD,18,40,52,45,3,0.15,1279.16,1728.6,4407.929999999999,5185.799999999999,4407.929999999999,3837.4800000000005,570.4499999999989,12.941448707216288,777.8699999999999,2019,11,29,4,4,48,2019,12,9,4,0,50,2019,12,14,4,5,50,10,5,15,Very Slow,Low,False,True,False,True,False
SO - 0004695,Online,WARE-MKL1006,23/8/19,2019-11-29,2019-12-14,2019-12-22,USD,15,28,335,38,3,0.08,106.53,201.0,554.76,603.0,554.76,319.59000000000003,235.16999999999996,42.39130434782608,48.24000000000001,2019,11,29,4,4,48,2019,12,14,4,5,50,2019,12,22,4,6,51,15,8,23,Very Slow,Low,True,True,False,True,False
SO - 0004696,Distributor,WARE-PUJ1005,23/8/19,2019-11-29,2019-12-17,2019-12-18,USD,25,42,304,8,1,0.15,582.9,971.5,825.775,971.5,825.775,582.9,242.875,29.411764705882355,145.725,2019,11,29,4,4,48,2019,12,17,4,1,51,2019,12,18,4,2,51,18,1,19,Very Slow,Low,True,True,False,True,False
SO - 0004697,In-Store,WARE-XYS1001,23/8/19,2019-11-29,2019-12-26,2019-12-31,USD,3,24,33,16,4,0.3,594.02,958.1,2682.68,3832.4,2682.68,2376.08,306.5999999999999,11.42886963782486,1149.72,2019,11,29,4,4,48,2019,12,26,4,3,52,2019,12,31,4,1,1,27,5,32,Very Slow,Low,False,True,False,True,False
SO - 0004698,In-Store,WARE-NBV1002,23/8/19,2019-11-29,2019-12-01,2019-12-10,USD,6,25,83,14,8,0.4,1818.38,3953.0,18974.399999999998,31624.0,18974.399999999998,14547.04,4427.359999999997,23.33333333333332,12649.6,2019,11,29,4,4,48,2019,12,1,4,6,48,2019,12,10,4,1,50,2,9,11,Slow,Below Avg,False,True,True,True,False
SO - 0004699,Online,WARE-NMK1003,23/8/19,2019-11-29,2019-12-10,2019-12-18,USD,15,14,89,21,1,0.2,706.52,1239.5,991.6,1239.5,991.6,706.52,285.08000000000004,28.74949576442114,247.9,2019,11,29,4,4,48,2019,12,10,4,1,50,2019,12,18,4,2,51,11,8,19,Very Slow,Low,False,True,False,True,False
SO - 0004700,Distributor,WARE-NMK1003,23/8/19,2019-11-29,2019-12-14,2019-12-17,USD,23,20,128,29,4,0.05,4215.98,5621.3,21360.94,22485.2,21360.94,16863.92,4497.02,21.052537950108942,1124.26,2019,11,29,4,4,48,2019,12,14,4,5,50,2019,12,17,4,1,51,15,3,18,Very Slow,Average,False,True,False,True,False
SO - 0004701,Online,WARE-NMK1003,23/8/19,2019-11-29,2019-12-12,2019-12-17,USD,18,40,90,10,1,0.08,1881.16,3839.1,3531.972,3839.1,3531.972,1881.16,1650.8120000000001,46.73910212198738,307.128,2019,11,29,4,4,48,2019,12,12,4,3,50,2019,12,17,4,1,51,13,5,18,Very Slow,Low,True,True,False,True,False
SO - 0004702,Wholesale,WARE-PUJ1005,23/8/19,2019-11-29,2019-12-12,2019-12-22,USD,27,41,307,8,2,0.05,1309.98,2519.2,4786.48,5038.4,4786.48,2619.96,2166.5199999999995,45.26332503217395,251.92,2019,11,29,4,4,48,2019,12,12,4,3,50,2019,12,22,4,6,51,13,10,23,Very Slow,Low,True,True,False,True,False
SO - 0004703,Online,WARE-NMK1003,23/8/19,2019-11-29,2019-12-20,2019-12-22,USD,18,37,153,23,1,0.05,572.85,1005.0,954.75,1005.0,954.75,572.85,381.9,40.0,50.25,2019,11,29,4,4,48,2019,12,20,4,4,51,2019,12,22,4,6,51,21,2,23,Very Slow,Low,True,True,False,True,False
SO - 0004704,Distributor,WARE-XYS1001,23/8/19,2019-11-29,2019-12-08,2019-12-11,USD,24,2,21,31,7,0.05,933.78,1212.7,8064.454999999999,8488.9,8064.454999999999,6536.46,1527.994999999999,18.94728162039467,424.44500000000005,2019,11,29,4,4,48,2019,12,8,4,6,49,2019,12,11,4,2,50,9,3,12,Slow,Low,False,True,False,True,False
SO - 0004705,Wholesale,WARE-UHY1004,23/8/19,2019-11-29,2019-12-06,2019-12-14,USD,27,5,249,29,4,0.08,2364.9,5031.7,18516.656,20126.8,18516.656,9459.6,9057.055999999999,48.9130218760882,1610.144,2019,11,29,4,4,48,2019,12,6,4,4,49,2019,12,14,4,5,50,7,8,15,Very Slow,Below Avg,True,True,False,True,False
SO - 0004706,Wholesale,WARE-XYS1001,23/8/19,2019-11-30,2019-12-16,2019-12-17,USD,28,25,47,25,6,0.08,1330.29,2418.7,13351.224,14512.199999999999,13351.224,7981.74,5369.484,40.21716660584828,1160.9759999999999,2019,11,30,4,5,48,2019,12,16,4,0,51,2019,12,17,4,1,51,16,1,17,Very Slow,Below Avg,True,True,False,True,False
SO - 0004707,Online,WARE-XYS1001,23/8/19,2019-11-30,2019-12-09,2019-12-18,USD,20,11,14,44,3,0.08,716.36,1085.4,2995.704,3256.2000000000003,2995.704,2149.08,846.6240000000003,28.261270138838825,260.49600000000004,2019,11,30,4,5,48,2019,12,9,4,0,50,2019,12,18,4,2,51,9,9,18,Very Slow,Low,False,True,False,True,False
SO - 0004708,In-Store,WARE-MKL1006,23/8/19,2019-11-30,2019-12-25,2019-12-27,USD,8,8,351,2,3,0.1,3207.96,5728.5,15466.95,17185.5,15466.95,9623.880000000001,5843.07,37.77777777777778,1718.5500000000002,2019,11,30,4,5,48,2019,12,25,4,2,52,2019,12,27,4,4,52,25,2,27,Very Slow,Below Avg,True,True,False,True,False
SO - 0004709,In-Store,WARE-MKL1006,23/8/19,2019-11-30,2019-12-10,2019-12-18,USD,1,13,341,33,7,0.2,122.21,214.4,1200.64,1500.8,1200.64,855.4699999999999,345.1700000000002,28.748833955223894,300.16,2019,11,30,4,5,48,2019,12,10,4,1,50,2019,12,18,4,2,51,10,8,18,Very Slow,Low,False,True,False,True,False
SO - 0004710,In-Store,WARE-PUJ1005,23/8/19,2019-11-30,2019-12-07,2019-12-16,USD,2,35,283,46,7,0.08,525.75,891.1,5738.684,6237.7,5738.684,3680.25,2058.434,35.86944323820583,499.01599999999996,2019,11,30,4,5,48,2019,12,7,4,5,49,2019,12,16,4,0,51,7,9,16,Very Slow,Low,True,True,False,True,False
SO - 0004711,Wholesale,WARE-XYS1001,23/8/19,2019-11-30,2019-12-10,2019-12-11,USD,26,47,55,37,3,0.05,639.18,1065.3,3036.1049999999996,3195.8999999999996,3036.1049999999996,1917.54,1118.5649999999996,36.84210526315789,159.79500000000002,2019,11,30,4,5,48,2019,12,10,4,1,50,2019,12,11,4,2,50,10,1,11,Slow,Low,True,True,False,True,False
SO - 0004712,Online,WARE-PUJ1005,23/8/19,2019-11-30,2019-12-09,2019-12-19,USD,18,25,271,10,1,0.05,3892.3,6277.9,5964.004999999999,6277.9,5964.004999999999,3892.3,2071.704999999999,34.73680857075068,313.895,2019,11,30,4,5,48,2019,12,9,4,0,50,2019,12,19,4,3,51,9,10,19,Very Slow,Low,True,True,False,True,False
SO - 0004713,Wholesale,WARE-NMK1003,23/8/19,2019-11-30,2019-12-05,2019-12-06,USD,27,7,182,14,4,0.15,868.32,1085.4,3690.36,4341.6,3690.36,3473.28,217.07999999999993,5.882352941176468,651.24,2019,11,30,4,5,48,2019,12,5,4,3,49,2019,12,6,4,4,49,5,1,6,Standard,Low,False,True,False,True,False
SO - 0004714,In-Store,WARE-UHY1004,23/8/19,2019-11-30,2019-12-08,2019-12-12,USD,11,32,222,3,8,0.4,3128.23,5393.5,25888.8,43148.0,25888.8,25025.84,862.9599999999991,3.33333333333333,17259.2,2019,11,30,4,5,48,2019,12,8,4,6,49,2019,12,12,4,3,50,8,4,12,Slow,Average,False,True,True,True,False
